seed,model,train_ratio,epoch,train_samples,source_loads,target_load,use_augmentation,amp_scale_min,amp_scale_max,noise_snr_min_db,noise_snr_max_db,max_time_shift,train_loss,train_acc,train_macro_f1,source_val_loss,source_val_acc,source_val_macro_f1
42,CNN-BiLSTM-Attention,1.0,3,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.19725909962043614,0.9521167283189478,0.9522907917047189,0.07638183157674888,0.9858188117275971,0.9860581464189306
42,CNN-BiLSTM-Attention,1.0,4,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.11908524643600697,0.968557336621455,0.9688904170781125,0.09778790351452969,0.9662276615146462,0.9664802074842016
42,CNN-BiLSTM-Attention,1.0,5,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.12199213175945967,0.9660912453760789,0.966561697286292,0.1008690948592999,0.9590935907948163,0.9579110453880654
42,CNN-BiLSTM-Attention,1.0,6,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.08615702104651776,0.9755445951500206,0.9759499906678529,0.03321627452072609,0.9902866113955104,0.9903624085327198
42,CNN-BiLSTM-Attention,1.0,7,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.07092454362403414,0.977599671187834,0.9778970010865793,0.02999567818050618,0.9907132104957742,0.9908307415208637
42,CNN-BiLSTM-Attention,1.0,8,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.06842521600442063,0.9812988080558981,0.981641070248726,0.04260173150407861,0.9859696295913266,0.9859581015274529
42,CNN-BiLSTM-Attention,1.0,9,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.06932801978438297,0.9784217016029593,0.9787609331894259,0.05545469767341563,0.9767093388883555,0.9764447325536926
42,CNN-BiLSTM-Attention,1.0,10,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.05199916838973369,0.9854089601315249,0.9856072526951969,0.01702036080466468,0.9936749860673021,0.9937964889774765
42,MS-CNN-BiLSTM-Attention,0.1,1,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.314321966494544,0.1292372881355932,0.11482874052073559,2.282234262467497,0.10185491608781334,0.018486949767532852
42,MS-CNN-BiLSTM-Attention,0.1,2,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.3005497455596924,0.13135593220338984,0.10814159081297196,2.2608935720839347,0.17800827672020594,0.08690028859387026
42,MS-CNN-BiLSTM-Attention,0.1,3,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.2575493060936362,0.13771186440677965,0.11132099327552843,2.2070513749984255,0.22126368954255607,0.14085125522581451
42,MS-CNN-BiLSTM-Attention,0.1,4,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.1877746339571678,0.1885593220338983,0.1672381360172232,2.0811722751204744,0.26365704797526507,0.13233858881909477
42,MS-CNN-BiLSTM-Attention,0.1,5,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.071978892310191,0.2309322033898305,0.18912899011337653,1.895216559964729,0.2615137599242258,0.14382627811099116
42,MS-CNN-BiLSTM-Attention,0.1,6,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.9083590689352004,0.2733050847457627,0.2293633998416015,1.7815507664443146,0.33504577886448716,0.21208861205950758
42,MS-CNN-BiLSTM-Attention,0.1,7,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.762034731396174,0.3453389830508475,0.32017246158431983,1.6600476284729142,0.35044763562732434,0.237850372819142
