seed,model,train_ratio,selected_epoch,train_samples,source_loads,source_val_acc,source_val_macro_f1,source_val_loss,target_load,target_test_acc,target_test_macro_f1,target_test_loss,elapsed_seconds,use_augmentation,amp_scale_min,amp_scale_max,noise_snr_min_db,noise_snr_max_db,max_time_shift
42,CNN-BiLSTM-Attention,0.5,9,2429,0+1+2,0.9878030700361226,0.9880055292256925,0.04416812215498401,3,0.8473609129814551,0.8420101929438981,0.30125827966364216,8.179613590240479,True,0.8,1.2,10.0,30.0,64
42,CNN-BiLSTM-Attention,1.0,10,4866,0+1+2,0.9936749860673021,0.9937964889774765,0.01702036080466468,3,0.9386590584878745,0.9387914776166528,0.15047742120161675,15.332940101623535,True,0.8,1.2,10.0,30.0,64
2024,CNN1D,0.1,9,482,0+1+2,0.9436597852681933,0.9341813247643841,0.7450506557531155,3,0.7646219686162625,0.728524372747898,0.932891270148431,2.143028497695923,True,0.8,1.2,10.0,30.0,64
2024,CNN1D,0.3,9,1456,0+1+2,0.9879022527879759,0.9878263412522833,0.18045881287187593,3,0.8730385164051355,0.8455725515028062,0.5192061897989007,4.601968765258789,True,0.8,1.2,10.0,30.0,64
2024,CNN1D,0.5,10,2429,0+1+2,0.9990211202463645,0.9990475704542748,0.049456187304357045,3,0.8901569186875892,0.8591652369260062,0.40769397479066155,6.82464075088501,True,0.8,1.2,10.0,30.0,64
2024,CNN1D,1.0,8,4866,0+1+2,0.9995231282784931,0.9995237852271375,0.029503368093223698,3,0.8017118402282454,0.7367836794169367,0.4382838234464809,13.034401178359985,True,0.8,1.2,10.0,30.0,64
2024,CNN-BiLSTM,0.1,10,482,0+1+2,0.9350570522433079,0.9328143885131869,0.6918690444120511,3,0.8673323823109843,0.8580945077033938,0.7728475833925473,3.143498659133911,True,0.8,1.2,10.0,30.0,64
2024,CNN-BiLSTM,0.3,9,1456,0+1+2,0.9839113248415693,0.9840347988846911,0.08933713279699007,3,0.9472182596291013,0.9464401211436785,0.18247349078789588,5.526293039321899,True,0.8,1.2,10.0,30.0,64
2024,CNN-BiLSTM,0.5,10,2429,0+1+2,0.9917674991812744,0.991832521252961,0.03743802465096259,3,0.9472182596291013,0.943856945046354,0.16084571953161425,8.312680959701538,True,0.8,1.2,10.0,30.0,64
2024,CNN-BiLSTM,1.0,8,4866,0+1+2,0.9922443709027814,0.9922457452533021,0.026389359068396276,3,0.9942938659058488,0.9942956273279249,0.032604073401814204,14.471965312957764,True,0.8,1.2,10.0,30.0,64
2024,CNN-BiLSTM-Attention,0.1,9,482,0+1+2,0.9323255909392731,0.9279345387512596,0.698312087144579,3,0.8887303851640513,0.8744608945768846,0.7739835568994666,2.8653252124786377,True,0.8,1.2,10.0,30.0,64
2024,CNN-BiLSTM-Attention,0.3,7,1456,0+1+2,0.9838617334656427,0.9840284626163859,0.10178315764753622,3,0.9671897289586305,0.9677667526818897,0.16496363793168956,5.441466808319092,True,0.8,1.2,10.0,30.0,64
2024,CNN-BiLSTM-Attention,0.5,8,2429,0+1+2,0.985693130174489,0.986035822191977,0.054375760713170795,3,0.9942938659058488,0.9943149583630355,0.0593868733168488,8.125658750534058,True,0.8,1.2,10.0,30.0,64
2024,CNN-BiLSTM-Attention,1.0,8,4866,0+1+2,0.989784603363382,0.9898370603307832,0.029833867381729894,3,0.9900142653352354,0.9899964145916955,0.05834929751280095,15.0129714012146,True,0.8,1.2,10.0,30.0,64
3407,CNN1D,0.1,9,482,0+1+2,0.9172510438237725,0.8973483132431571,0.6818886912490116,3,0.7803138373751783,0.7423710128437826,0.8231366078625733,2.2206952571868896,True,0.8,1.2,10.0,30.0,64
3407,CNN1D,0.3,9,1456,0+1+2,0.9580087158361629,0.9548706731396935,0.18306120834896875,3,0.8673323823109843,0.8423649258542876,0.4712649386976653,4.3955230712890625,True,0.8,1.2,10.0,30.0,64
3407,CNN1D,0.5,9,2429,0+1+2,0.9927966515561532,0.9928065826254423,0.07116440541786814,3,0.8630527817403709,0.8375526389385366,0.4603875187702594,6.654685020446777,True,0.8,1.2,10.0,30.0,64
3407,CNN1D,1.0,9,4866,0+1+2,0.9994979919678716,0.9995237852271375,0.021361295225809856,3,0.8972895863052782,0.8670033417726162,0.35906855617988637,12.199405670166016,True,0.8,1.2,10.0,30.0,64
3407,CNN-BiLSTM,0.1,10,482,0+1+2,0.9474285738909037,0.9468339769349422,0.6610302366754116,3,0.8231098430813124,0.7918176234953613,0.7976946385202667,2.536741018295288,True,0.8,1.2,10.0,30.0,64
3407,CNN-BiLSTM,0.3,9,1456,0+1+2,0.9844146953643307,0.9845176143933146,0.0692293406094832,3,0.920114122681883,0.9068005558508739,0.24548349083904789,4.895923376083374,True,0.8,1.2,10.0,30.0,64
3407,CNN-BiLSTM,0.5,8,2429,0+1+2,0.9884293971307261,0.9883986185202644,0.049098797331769244,3,0.8744650499286734,0.8532708796443315,0.3453686821530872,7.486056089401245,True,0.8,1.2,10.0,30.0,64
3407,CNN-BiLSTM,1.0,10,4866,0+1+2,0.9912410360838408,0.9913299223441671,0.02084642454332246,3,0.884450784593438,0.872808634913841,0.33440719204343666,13.992544651031494,True,0.8,1.2,10.0,30.0,64
3407,CNN-BiLSTM-Attention,0.1,10,482,0+1+2,0.8331648441302507,0.8110682209206538,0.7573586210745877,3,0.7874465049928673,0.7846263852525567,0.8391932902509578,2.694552421569824,True,0.8,1.2,10.0,30.0,64
3407,CNN-BiLSTM-Attention,0.3,10,1456,0+1+2,0.9782900537363023,0.9787519235214942,0.09482348095503838,3,0.9001426533523538,0.8972083311946623,0.2346393601748343,5.464939832687378,True,0.8,1.2,10.0,30.0,64
3407,CNN-BiLSTM-Attention,0.5,10,2429,0+1+2,0.9917674991812744,0.991749172275631,0.03394934394670243,3,0.9714693295292439,0.9713868404495895,0.0859882395007726,8.251633882522583,True,0.8,1.2,10.0,30.0,64
3407,CNN-BiLSTM-Attention,1.0,10,4866,0+1+2,0.9917674991812744,0.9917707043127427,0.02466063819641604,3,0.9843081312410842,0.9842123813224379,0.03967818888415783,15.040230751037598,True,0.8,1.2,10.0,30.0,64
