seed,model,train_ratio,epoch,train_samples,source_loads,target_load,use_augmentation,amp_scale_min,amp_scale_max,noise_snr_min_db,noise_snr_max_db,max_time_shift,train_loss,train_acc,train_macro_f1,source_val_loss,source_val_acc,source_val_macro_f1
42,CNN-BiLSTM,0.1,3,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.222637077584801,0.18464730290456433,0.17195147387093296,2.123180089648002,0.23037728678868344,0.14359733467674687
42,CNN-BiLSTM,0.1,4,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.1249161112852613,0.2572614107883817,0.249052520802306,1.9215517014776007,0.5587543552505546,0.5182384816815694
42,CNN-BiLSTM,0.1,5,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.9453303670487463,0.35892116182572614,0.32577827711342777,1.6668709031180784,0.6297844720389837,0.561843891152166
42,CNN-BiLSTM,0.1,6,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.7576742167294768,0.43568464730290457,0.4030851972598139,1.4698335376041705,0.6268980356332339,0.5700461634229711
42,CNN-BiLSTM,0.1,7,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.50344789967992,0.5767634854771784,0.5439407580630291,1.2015857955408442,0.8050748056604099,0.7693845711837316
42,CNN-BiLSTM,0.1,8,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.2587752980315339,0.6680497925311203,0.6389768503694001,0.940549243495068,0.871705756194613,0.8567192081228541
42,CNN-BiLSTM,0.1,9,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.0687989441685657,0.7510373443983402,0.7443672533171399,0.7411893410483085,0.9053700557389993,0.894464395453303
42,CNN-BiLSTM,0.1,10,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.9192273814648514,0.8153526970954357,0.8069058210083057,0.5971766888836069,0.9148972714893912,0.899447049264845
42,CNN-BiLSTM,0.3,1,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.28699628337399,0.13942307692307693,0.12799837911403605,2.146596428328229,0.5232464663477124,0.4701597996991452
42,CNN-BiLSTM,0.3,2,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.9817976519301697,0.3385989010989011,0.3149872802924057,1.534018130297901,0.8038462125633128,0.7948146186877058
42,CNN-BiLSTM,0.3,3,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.369470069696615,0.6318681318681318,0.6068206101225738,0.8974062425921203,0.8265449002221844,0.7994431923030604
42,CNN-BiLSTM,0.3,4,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.8368870419460338,0.8145604395604396,0.8087070265237898,0.4361826848546371,0.9424546787189634,0.9380599399158402
42,CNN-BiLSTM,0.3,5,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.5055184200569823,0.8997252747252747,0.8986371997130675,0.24753887318319615,0.9834093168094409,0.9835454250078225
42,CNN-BiLSTM,0.3,6,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.35296604594031533,0.9278846153846154,0.9282230983950697,0.16901368664767477,0.9737713371368163,0.9732095425801602
42,CNN-BiLSTM,0.3,7,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.25858241663529324,0.9409340659340659,0.9418337848150538,0.16343627755373277,0.9561766378820001,0.9541184342896766
42,CNN-BiLSTM,0.3,8,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.22991373709269933,0.9368131868131868,0.937788718128467,0.11113981995560697,0.9839398673787733,0.9841424723887231
42,CNN-BiLSTM,0.3,9,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.1985879170370626,0.9423076923076923,0.9421840001723139,0.10032862153550097,0.9718400764307997,0.9710501466880839
42,CNN-BiLSTM,0.3,10,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.1639148596223894,0.9567307692307693,0.9571100937813138,0.08218469930028584,0.9830078540197987,0.983008199924711
42,CNN-BiLSTM,0.5,1,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.1683185629120283,0.21819678880197613,0.20816410925978168,1.675357362014574,0.6258594155900118,0.5536216562833877
