model,train_ratio,epoch,train_samples,target_load,train_loss,train_acc,train_macro_f1,test_loss,test_acc,test_macro_f1
CNN1D,1.0,3,4866,3,0.06636654549158506,0.9975339087546239,0.9975752891206533,0.502469619938017,0.854493580599144,0.8207676642600941
CNN1D,1.0,4,4866,3,0.03586505153176229,0.9989724619810934,0.9989896875121319,0.42846825131920624,0.9001426533523538,0.864506387921022
CNN1D,1.0,5,4866,3,0.031818784513054095,0.9991779695848746,0.9991915053033711,0.732899294302569,0.8459343794579173,0.8229578981241659
CNN1D,1.0,6,4866,3,0.02536708638347621,0.9985614467735306,0.9985856283466849,0.44792879946575037,0.8259629101283881,0.8052790346907994
CNN1D,1.0,7,4866,3,0.030677181847341455,0.9963008631319359,0.9962636651182531,0.2896739068213909,0.9101283880171184,0.8851370851370852
CNN1D,1.0,8,4866,3,0.01488398681856015,0.9981504315659679,0.9981797335599829,0.5386491355734655,0.8815977175463623,0.8465899882719263
CNN1D,1.0,9,4866,3,0.01692967645998507,0.9985614467735306,0.9985854279710328,0.4962701755051053,0.8887303851640513,0.8511304889442541
CNN1D,1.0,10,4866,3,0.008627705214766383,0.9995889847924373,0.9995967723483966,0.38984883668036674,0.9001426533523538,0.8611906384912519
SE-ResNet1D,0.1,1,482,3,1.715792655697502,0.5124481327800829,0.5052264877804661,2.2589037515297425,0.09985734664764621,0.01815823605706874
SE-ResNet1D,0.1,2,482,3,0.5721940942325038,0.91701244813278,0.910915497118728,1.7004815987955657,0.43509272467902993,0.3189651294763667
SE-ResNet1D,0.1,3,482,3,0.23625374545200237,0.979253112033195,0.9794795374406027,0.8537890453651527,0.6576319543509273,0.6090231371518173
SE-ResNet1D,0.1,4,482,3,0.13454249272455318,0.983402489626556,0.9836650417619082,0.2685394116840757,0.9372325249643366,0.929851654730227
SE-ResNet1D,0.1,5,482,3,0.07122431275013572,0.995850622406639,0.9959183673469388,3.3180019331049073,0.6019971469329529,0.5453661481129787
SE-ResNet1D,0.1,6,482,3,0.05044384464559713,0.9937759336099585,0.9938762886597938,0.5165274416557519,0.8616262482168331,0.8273760628954807
SE-ResNet1D,0.1,7,482,3,0.047646059055669675,0.991701244813278,0.991823112223613,0.6783542809330363,0.8402282453637661,0.800339353520565
SE-ResNet1D,0.1,8,482,3,0.09246667465233704,0.9771784232365145,0.9773656760240866,0.676950552905996,0.7517831669044223,0.7277024837210663
SE-ResNet1D,0.1,9,482,3,0.06331370336571669,0.9896265560165975,0.9898342474685086,0.45021381638756075,0.8787446504992867,0.8430299401197605
SE-ResNet1D,0.1,10,482,3,0.03686643901949602,0.9937759336099585,0.9938756378215141,0.808748786657359,0.8873038516405135,0.8535363705706954
SE-ResNet1D,0.3,1,1456,3,0.8503318566542405,0.7884615384615384,0.7973069975446248,1.035678615923785,0.6619115549215406,0.6031533256091807
SE-ResNet1D,0.3,2,1456,3,0.1061947575391649,0.9807692307692307,0.9810889844239767,2.760305947691904,0.6790299572039943,0.6205853376410994
SE-ResNet1D,0.3,3,1456,3,0.052237948505105554,0.9910714285714286,0.9912135053014476,0.8089462615517679,0.7075606276747504,0.6532384485325662
SE-ResNet1D,0.3,4,1456,3,0.028297200389615782,0.9958791208791209,0.9959549537210132,0.6626109314721061,0.7960057061340942,0.7548842286566895
SE-ResNet1D,0.3,5,1456,3,0.08925021517571512,0.970467032967033,0.9699137731555358,0.9632216536156816,0.7717546362339515,0.7476259620450323
SE-ResNet1D,0.3,6,1456,3,0.05652319922388255,0.9842032967032966,0.9845389145426209,0.5518598587221643,0.8273894436519258,0.8003005489397104
SE-ResNet1D,0.3,7,1456,3,0.014174114646656173,0.9979395604395604,0.9979729575492288,0.6512134218654567,0.8316690442225392,0.7909468828955873
SE-ResNet1D,0.3,8,1456,3,0.005772269985914885,1.0,1.0,0.5658796876071077,0.8630527817403709,0.8356331533963113
SE-ResNet1D,0.3,9,1456,3,0.006021147721784783,0.9986263736263736,0.9986486486486486,0.3216892025658008,0.8901569186875892,0.8794447074708259
SE-ResNet1D,0.3,10,1456,3,0.007556089192403705,0.9979395604395604,0.9979729498373565,0.5890456481676313,0.8245363766048502,0.7829351404896786
SE-ResNet1D,0.5,1,2429,3,0.6123228780879264,0.8579662412515439,0.8621591714089398,0.8762670056827994,0.7503566333808844,0.716701689326438
SE-ResNet1D,0.5,2,2429,3,0.06734958376325959,0.9872375463153561,0.987379082820574,0.6209648261819907,0.7988587731811697,0.7360802645559726
