target_load,source_loads,epoch,train_loss,train_acc,train_macro_f1,mean_source_val_acc,mean_source_val_macro_f1,target_test_loss,target_test_acc,target_test_macro_f1
1,0+2+3,9,0.00740818655614516,1.0,1.0,0.984542379831124,0.9844975843228676,0.01761642383419521,0.9985693848354793,0.9985713556814122
1,0+2+3,10,0.009986815786283347,0.9993838570548367,0.9993943388761952,0.9994979919678716,0.9995237852271375,0.021897702662571357,0.9971387696709585,0.9971322849213692
2,0+1+3,1,0.9696493690619603,0.8075580201273362,0.800486524383216,0.974149024162831,0.973897820410578,0.24956181406974792,1.0,1.0
2,0+1+3,2,0.16455759158563407,0.9944547134935305,0.9945310847747095,0.9984939759036146,0.9985641828052403,0.06987739729029792,1.0,1.0
2,0+1+3,3,0.05580333214957848,0.9981515711645101,0.9981795309232323,0.9994979919678716,0.9995237852271375,0.03663044041820935,1.0,1.0
2,0+1+3,4,0.040868473506838074,0.997740809201068,0.9977709376558888,0.9994979919678716,0.9995237852271375,0.019570133366755078,1.0,1.0
2,0+1+3,5,0.019588525792819857,0.9987677141096735,0.9987856074086283,1.0,1.0,0.015189494682209832,1.0,1.0
2,0+1+3,6,0.013660192088709644,0.9991784760731156,0.9991910944754856,0.9909638554216867,0.9910517868671449,0.032059401465313775,1.0,1.0
2,0+1+3,7,0.012066276636510984,0.9995892380365579,0.9995959577420986,1.0,1.0,0.005537856199911663,1.0,1.0
2,0+1+3,8,0.00931160176135745,0.9993838570548367,0.9993935273505528,0.998995983935743,0.9990474246444853,0.008435167460037129,1.0,1.0
2,0+1+3,9,0.007506036579694609,0.9997946190182789,0.9997979795918577,0.9914658634538153,0.991783612103637,0.012787873188831976,0.9971428571428571,0.9971422739334559
2,0+1+3,10,0.011604932142763221,0.9983569521462312,0.9983813133022217,0.9984939759036146,0.9985641828052403,0.012575283572742981,1.0,1.0
3,0+1+2,1,0.9439304336519629,0.8329223181257707,0.8283519048218858,0.9638568580473539,0.9622132670952874,0.7594036652936405,0.7617689015691869,0.7210342626939491
3,0+1+2,2,0.15276145939958277,0.9942457870941225,0.9943372572504474,0.9994979919678716,0.9995237852271375,0.5391649880025339,0.833095577746077,0.8084394330905958
3,0+1+2,3,0.059868086011528335,0.9979449239621866,0.9979797583531447,0.9994979919678716,0.9995237852271375,0.6604251110137104,0.8202567760342369,0.7984189572472082
3,0+1+2,4,0.03798343733020442,0.9979449239621866,0.9979791206311834,0.9723196361985854,0.9712953158656422,0.6377289471177972,0.7631954350927247,0.7345412449186034
3,0+1+2,5,0.024867291417182642,0.9991779695848746,0.999191297509628,1.0,1.0,0.5074936316233027,0.8901569186875892,0.8524157251768164
3,0+1+2,6,0.016661227123021,0.9991779695848746,0.9991912968974646,1.0,1.0,0.3816024026781661,0.891583452211127,0.8601663561263265
3,0+1+2,7,0.016509062075046568,0.9995889847924373,0.9995961601640776,1.0,1.0,0.5381210411482952,0.8587731811697575,0.8311487463103038
3,0+1+2,8,0.011975978885077176,0.9993834771886559,0.9993731518684154,0.9959839357429718,0.9961779961779961,0.6817499010434398,0.7917261055634808,0.7583527583527584
3,0+1+2,9,0.022989363066218196,0.998766954377312,0.9987679924640961,0.9994979919678716,0.9995237852271375,0.6006889104034044,0.8273894436519258,0.7882546514540776
3,0+1+2,10,0.016486117955445752,0.9989724619810934,0.9989902976712685,1.0,1.0,0.5893390550744453,0.8673323823109843,0.8391424800420303
